director_name,actor_1_name,actor_2_name,actor_3_name,movie_title,genres,comb
Gore Verbinski,Johnny Depp,Orlando Bloom,Jack Davenport,pirates of the caribbean: dead man's chest,Action Adventure Fantasy,Johnny Depp Orlando Bloom Jack Davenport Gore Verbinski pirates of the caribbean: dead man's chest
Gore Verbinski,Johnny Depp,Ruth Wilson,Tom Wilkinson,the lone ranger,Action Adventure Western,Johnny Depp Ruth Wilson Tom Wilkinson Gore Verbinski the lone ranger
Zack Snyder,Henry Cavill,Christopher Meloni,Harry Lennix,man of steel,Action Adventure Fantasy Sci-Fi,Henry Cavill Christopher Meloni Harry Lennix Zack Snyder man of steel
Andrew Adamson,Peter Dinklage,Pierfrancesco Favino,Damián Alcázar,the chronicles of narnia: prince caspian,Action Adventure Family Fantasy,Peter Dinklage Pierfrancesco Favino Damián Alcázar Andrew Adamson the chronicles of narnia: prince caspian
Rob Marshall,Johnny Depp,Sam Claflin,Stephen Graham,pirates of the caribbean: on stranger tides,Action Adventure Fantasy,Johnny Depp Sam Claflin Stephen Graham Rob Marshall pirates of the caribbean: on stranger tides
Barry Sonnenfeld,Will Smith,Michael Stuhlbarg,Nicole Scherzinger,men in black 3,Action Adventure Comedy Family Fantasy Sci-Fi,Will Smith Michael Stuhlbarg Nicole Scherzinger Barry Sonnenfeld men in black 3
Peter Jackson,Aidan Turner,Adam Brown,James Nesbitt,the hobbit: the battle of the five armies,Adventure Fantasy,Aidan Turner Adam Brown James Nesbitt Peter Jackson the hobbit: the battle of the five armies
Marc Webb,Emma Stone,Andrew Garfield,Chris Zylka,the amazing spider-man,Action Adventure Fantasy,Emma Stone Andrew Garfield Chris Zylka Marc Webb the amazing spider-man
Peter Jackson,Aidan Turner,Adam Brown,James Nesbitt,the hobbit: the desolation of smaug,Adventure Fantasy,Aidan Turner Adam Brown James Nesbitt Peter Jackson the hobbit: the desolation of smaug
Chris Weitz,Christopher Lee,Eva Green,Kristin Scott Thomas,the golden compass,Adventure Family Fantasy,Christopher Lee Eva Green Kristin Scott Thomas Chris Weitz the golden compass
James Cameron,Leonardo DiCaprio,Kate Winslet,Gloria Stuart,titanic,Drama Romance,Leonardo DiCaprio Kate Winslet Gloria Stuart James Cameron titanic
Anthony Russo,Robert Downey Jr.,Scarlett Johansson,Chris Evans,captain america: civil war,Action Adventure Sci-Fi,Robert Downey Jr. Scarlett Johansson Chris Evans Anthony Russo captain america: civil war
Peter Berg,Liam Neeson,Alexander Skarsgård,Tadanobu Asano,battleship,Action Adventure Sci-Fi Thriller,Liam Neeson Alexander Skarsgård Tadanobu Asano Peter Berg battleship
Colin Trevorrow,Bryce Dallas Howard,Judy Greer,Omar Sy,jurassic world,Action Adventure Sci-Fi Thriller,Bryce Dallas Howard Judy Greer Omar Sy Colin Trevorrow jurassic world
Sam Raimi,J.K. Simmons,James Franco,Kirsten Dunst,spider-man 2,Action Adventure Fantasy Romance,J.K. Simmons James Franco Kirsten Dunst Sam Raimi spider-man 2
Shane Black,Robert Downey Jr.,Jon Favreau,Don Cheadle,iron man 3,Action Adventure Sci-Fi,Robert Downey Jr. Jon Favreau Don Cheadle Shane Black iron man 3
Brett Ratner,Hugh Jackman,Kelsey Grammer,Daniel Cudmore,x-men: the last stand,Action Adventure Fantasy Sci-Fi Thriller,Hugh Jackman Kelsey Grammer Daniel Cudmore Brett Ratner x-men: the last stand
Dan Scanlon,Steve Buscemi,Tyler Labine,Sean Hayes,monsters university,Adventure Animation Comedy Family Fantasy,Steve Buscemi Tyler Labine Sean Hayes Dan Scanlon monsters university
Michael Bay,Glenn Morshower,Kevin Dunn,Ramon Rodriguez,transformers: revenge of the fallen,Action Adventure Sci-Fi,Glenn Morshower Kevin Dunn Ramon Rodriguez Michael Bay transformers: revenge of the fallen
Michael Bay,Bingbing Li,Sophia Myles,Kelsey Grammer,transformers: age of extinction,Action Adventure Sci-Fi,Bingbing Li Sophia Myles Kelsey Grammer Michael Bay transformers: age of extinction
Marc Webb,Emma Stone,Andrew Garfield,B.J. Novak,the amazing spider-man 2,Action Adventure Fantasy Sci-Fi,Emma Stone Andrew Garfield B.J. Novak Marc Webb the amazing spider-man 2
John Lasseter,Joe Mantegna,Thomas Kretschmann,Eddie Izzard,cars 2,Adventure Animation Comedy Family Sport,Joe Mantegna Thomas Kretschmann Eddie Izzard John Lasseter cars 2
Martin Campbell,Ryan Reynolds,Temuera Morrison,Taika Waititi,green lantern,Action Adventure Sci-Fi,Ryan Reynolds Temuera Morrison Taika Waititi Martin Campbell green lantern
Lee Unkrich,Tom Hanks,John Ratzenberger,Don Rickles,toy story 3,Adventure Animation Comedy Family Fantasy,Tom Hanks John Ratzenberger Don Rickles Lee Unkrich toy story 3
McG,Christian Bale,Bryce Dallas Howard,Common,terminator salvation,Action Adventure Sci-Fi,Christian Bale Bryce Dallas Howard Common McG terminator salvation
James Wan,Jason Statham,Paul Walker,Vin Diesel,furious 7,Action Crime Thriller,Jason Statham Paul Walker Vin Diesel James Wan furious 7
Marc Forster,Peter Capaldi,Brad Pitt,Mireille Enos,world war z,Action Adventure Horror Sci-Fi Thriller,Peter Capaldi Brad Pitt Mireille Enos Marc Forster world war z
Bryan Singer,Jennifer Lawrence,Peter Dinklage,Hugh Jackman,x-men: days of future past,Action Adventure Fantasy Sci-Fi Thriller,Jennifer Lawrence Peter Dinklage Hugh Jackman Bryan Singer x-men: days of future past
J.J. Abrams,Benedict Cumberbatch,Bruce Greenwood,Noel Clarke,star trek into darkness,Action Adventure Sci-Fi,Benedict Cumberbatch Bruce Greenwood Noel Clarke J.J. Abrams star trek into darkness
Bryan Singer,Eddie Marsan,Ewen Bremner,Ralph Brown,jack the giant slayer,Adventure Fantasy,Eddie Marsan Ewen Bremner Ralph Brown Bryan Singer jack the giant slayer
Mike Newell,Jake Gyllenhaal,Richard Coyle,Reece Ritchie,prince of persia: the sands of time,Action Adventure Fantasy Romance,Jake Gyllenhaal Richard Coyle Reece Ritchie Mike Newell prince of persia: the sands of time
Guillermo del Toro,Charlie Hunnam,Clifton Collins Jr.,Larry Joe Campbell,pacific rim,Action Adventure Sci-Fi,Charlie Hunnam Clifton Collins Jr. Larry Joe Campbell Guillermo del Toro pacific rim
Michael Bay,Glenn Morshower,Lester Speight,Kevin Dunn,transformers: dark of the moon,Action Adventure Sci-Fi,Glenn Morshower Lester Speight Kevin Dunn Michael Bay transformers: dark of the moon
Steven Spielberg,Harrison Ford,Ray Winstone,Jim Broadbent,indiana jones and the kingdom of the crystal skull,Action Adventure Fantasy,Harrison Ford Ray Winstone Jim Broadbent Steven Spielberg indiana jones and the kingdom of the crystal skull
Peter Sohn,A.J. Buckley,Jack McGraw,Peter Sohn,the good dinosaur,Adventure Animation Comedy Family Fantasy,A.J. Buckley Jack McGraw Peter Sohn Peter Sohn the good dinosaur
Mark Andrews,Kelly Macdonald,John Ratzenberger,Julie Walters,brave,Adventure Animation Comedy Family Fantasy,Kelly Macdonald John Ratzenberger Julie Walters Mark Andrews brave
Justin Lin,Sofia Boutella,Melissa Roxburgh,Lydia Wilson,star trek beyond,Action Adventure Sci-Fi Thriller,Sofia Boutella Melissa Roxburgh Lydia Wilson Justin Lin star trek beyond
Andrew Stanton,John Ratzenberger,Fred Willard,Jeff Garlin,wall·e,Adventure Animation Family Sci-Fi,John Ratzenberger Fred Willard Jeff Garlin Andrew Stanton wall·e
Brett Ratner,Tzi Ma,Dana Ivey,Noémie Lenoir,rush hour 3,Action Comedy Crime Thriller,Tzi Ma Dana Ivey Noémie Lenoir Brett Ratner rush hour 3
Roland Emmerich,Oliver Platt,Liam James,Tom McCarthy,2012,Action Adventure Sci-Fi,Oliver Platt Liam James Tom McCarthy Roland Emmerich 2012
Robert Zemeckis,Robin Wright,Colin Firth,Gary Oldman,a christmas carol,Animation Drama Family Fantasy,Robin Wright Colin Firth Gary Oldman Robert Zemeckis a christmas carol
Lana Wachowski,Channing Tatum,Mila Kunis,Eddie Redmayne,jupiter ascending,Action Adventure Sci-Fi,Channing Tatum Mila Kunis Eddie Redmayne Lana Wachowski jupiter ascending
Andrew Adamson,Jim Broadbent,Kiran Shah,Shane Rangi,"the chronicles of narnia: the lion, the witch and the wardrobe",Adventure Family Fantasy,"Jim Broadbent Kiran Shah Shane Rangi Andrew Adamson the chronicles of narnia: the lion, the witch and the wardrobe"
Bryan Singer,Jennifer Lawrence,Michael Fassbender,Tye Sheridan,x-men: apocalypse,Action Adventure Sci-Fi,Jennifer Lawrence Michael Fassbender Tye Sheridan Bryan Singer x-men: apocalypse
Christopher Nolan,Christian Bale,Heath Ledger,Morgan Freeman,the dark knight,Action Crime Drama Thriller,Christian Bale Heath Ledger Morgan Freeman Christopher Nolan the dark knight
Pete Docter,John Ratzenberger,Delroy Lindo,Jess Harnell,up,Adventure Animation Comedy Family,John Ratzenberger Delroy Lindo Jess Harnell Pete Docter up
Rob Letterman,Amy Poehler,Rainn Wilson,Stephen Colbert,monsters vs. aliens,Action Adventure Animation Comedy Family Sci-Fi,Amy Poehler Rainn Wilson Stephen Colbert Rob Letterman monsters vs. aliens
Jon Favreau,Robert Downey Jr.,Jeff Bridges,Jon Favreau,iron man,Action Adventure Sci-Fi,Robert Downey Jr. Jeff Bridges Jon Favreau Jon Favreau iron man
Martin Scorsese,Chloë Grace Moretz,Christopher Lee,Ray Winstone,hugo,Adventure Drama Family Mystery,Chloë Grace Moretz Christopher Lee Ray Winstone Martin Scorsese hugo
Barry Sonnenfeld,Will Smith,Salma Hayek,Bai Ling,wild wild west,Action Comedy Sci-Fi Western,Will Smith Salma Hayek Bai Ling Barry Sonnenfeld wild wild west
Rob Cohen,Jet Li,Brendan Fraser,Russell Wong,the mummy: tomb of the dragon emperor,Action Adventure Fantasy Horror Thriller,Jet Li Brendan Fraser Russell Wong Rob Cohen the mummy: tomb of the dragon emperor
David Ayer,Will Smith,Robin Atkin Downes,Ike Barinholtz,suicide squad,Action Adventure Comedy Sci-Fi,Will Smith Robin Atkin Downes Ike Barinholtz David Ayer suicide squad
Tom Shadyac,Jimmy Bennett,Morgan Freeman,Steve Carell,evan almighty,Comedy Family Fantasy,Jimmy Bennett Morgan Freeman Steve Carell Tom Shadyac evan almighty
Doug Liman,Tom Cruise,Lara Pulver,Noah Taylor,edge of tomorrow,Action Adventure Sci-Fi,Tom Cruise Lara Pulver Noah Taylor Doug Liman edge of tomorrow
Kevin Reynolds,Jeanne Tripplehorn,Rick Aviles,Zakes Mokae,waterworld,Action Adventure Sci-Fi Thriller,Jeanne Tripplehorn Rick Aviles Zakes Mokae Kevin Reynolds waterworld
Stephen Sommers,Joseph Gordon-Levitt,Dennis Quaid,Leo Howard,g.i. joe: the rise of cobra,Action Adventure Sci-Fi Thriller,Joseph Gordon-Levitt Dennis Quaid Leo Howard Stephen Sommers g.i. joe: the rise of cobra
Pete Docter,Amy Poehler,Mindy Kaling,Phyllis Smith,inside out,Adventure Animation Comedy Drama Family Fantasy,Amy Poehler Mindy Kaling Phyllis Smith Pete Docter inside out
Jon Favreau,Robert Downey Jr.,Scarlett Johansson,Jon Favreau,iron man 2,Action Adventure Sci-Fi,Robert Downey Jr. Scarlett Johansson Jon Favreau Jon Favreau iron man 2
Rupert Sanders,Chris Hemsworth,Kristen Stewart,Sam Claflin,snow white and the huntsman,Action Adventure Drama Fantasy,Chris Hemsworth Kristen Stewart Sam Claflin Rupert Sanders snow white and the huntsman
Robert Stromberg,Angelina Jolie Pitt,Sharlto Copley,Sam Riley,maleficent,Action Adventure Family Fantasy Romance,Angelina Jolie Pitt Sharlto Copley Sam Riley Robert Stromberg maleficent
Matt Reeves,Gary Oldman,Judy Greer,Kodi Smit-McPhee,dawn of the planet of the apes,Action Adventure Drama Sci-Fi,Gary Oldman Judy Greer Kodi Smit-McPhee Matt Reeves dawn of the planet of the apes
Carl Rinsch,Keanu Reeves,Cary-Hiroyuki Tagawa,Jin Akanishi,47 ronin,Action Adventure Drama Fantasy,Keanu Reeves Cary-Hiroyuki Tagawa Jin Akanishi Carl Rinsch 47 ronin
Anthony Russo,Scarlett Johansson,Chris Evans,Hayley Atwell,captain america: the winter soldier,Action Adventure Sci-Fi,Scarlett Johansson Chris Evans Hayley Atwell Anthony Russo captain america: the winter soldier
Mike Mitchell,Jon Hamm,Kathy Griffin,Mary Kay Place,shrek forever after,Adventure Animation Comedy Family Fantasy,Jon Hamm Kathy Griffin Mary Kay Place Mike Mitchell shrek forever after
Brad Bird,Judy Greer,Chris Bauer,Thomas Robinson,tomorrowland,Action Adventure Family Mystery Sci-Fi,Judy Greer Chris Bauer Thomas Robinson Brad Bird tomorrowland
Don Hall,Damon Wayans Jr.,Daniel Henney,Abraham Benrubi,big hero 6,Action Adventure Animation Comedy Drama Family Sci-Fi,Damon Wayans Jr. Daniel Henney Abraham Benrubi Don Hall big hero 6
Rich Moore,Jack McBrayer,Sarah Silverman,Joe Lo Truglio,wreck-it ralph,Adventure Animation Comedy Family Sci-Fi,Jack McBrayer Sarah Silverman Joe Lo Truglio Rich Moore wreck-it ralph
Robert Zemeckis,Tom Hanks,Eddie Deezen,Peter Scolari,the polar express,Adventure Animation Family Fantasy,Tom Hanks Eddie Deezen Peter Scolari Robert Zemeckis the polar express
Roland Emmerich,Vivica A. Fox,Sela Ward,Judd Hirsch,independence day: resurgence,Action Adventure Sci-Fi,Vivica A. Fox Sela Ward Judd Hirsch Roland Emmerich independence day: resurgence
Dean DeBlois,Gerard Butler,America Ferrera,Craig Ferguson,how to train your dragon,Adventure Animation Family Fantasy,Gerard Butler America Ferrera Craig Ferguson Dean DeBlois how to train your dragon
Jonathan Mostow,Nick Stahl,M.C. Gainey,Carolyn Hennesy,terminator 3: rise of the machines,Action Sci-Fi,Nick Stahl M.C. Gainey Carolyn Hennesy Jonathan Mostow terminator 3: rise of the machines
James Gunn,Bradley Cooper,Vin Diesel,Djimon Hounsou,guardians of the galaxy,Action Adventure Sci-Fi,Bradley Cooper Vin Diesel Djimon Hounsou James Gunn guardians of the galaxy
Christopher Nolan,Matthew McConaughey,Anne Hathaway,Mackenzie Foy,interstellar,Adventure Drama Sci-Fi,Matthew McConaughey Anne Hathaway Mackenzie Foy Christopher Nolan interstellar
Christopher Nolan,Leonardo DiCaprio,Tom Hardy,Joseph Gordon-Levitt,inception,Action Adventure Sci-Fi Thriller,Leonardo DiCaprio Tom Hardy Joseph Gordon-Levitt Christopher Nolan inception
Peter Jackson,Aidan Turner,Adam Brown,James Nesbitt,the hobbit: an unexpected journey,Adventure Fantasy,Aidan Turner Adam Brown James Nesbitt Peter Jackson the hobbit: an unexpected journey
David Fincher,Brad Pitt,Jason Flemyng,Julia Ormond,the curious case of benjamin button,Drama Fantasy Romance,Brad Pitt Jason Flemyng Julia Ormond David Fincher the curious case of benjamin button
Matthew Vaughn,Jennifer Lawrence,Michael Fassbender,Oliver Platt,x-men: first class,Action Adventure Sci-Fi,Jennifer Lawrence Michael Fassbender Oliver Platt Matthew Vaughn x-men: first class
Francis Lawrence,Jennifer Lawrence,Philip Seymour Hoffman,Josh Hutcherson,the hunger games: mockingjay - part 2,Adventure Sci-Fi,Jennifer Lawrence Philip Seymour Hoffman Josh Hutcherson Francis Lawrence the hunger games: mockingjay - part 2
Jon Turteltaub,Nicolas Cage,Omar Benson Miller,Robert Capron,the sorcerer's apprentice,Action Adventure Family Fantasy,Nicolas Cage Omar Benson Miller Robert Capron Jon Turteltaub the sorcerer's apprentice
Wolfgang Petersen,Jimmy Bennett,Mike Vogel,Andre Braugher,poseidon,Action Adventure Drama Thriller,Jimmy Bennett Mike Vogel Andre Braugher Wolfgang Petersen poseidon
James Bobin,Johnny Depp,Alan Rickman,Anne Hathaway,alice through the looking glass,Adventure Family Fantasy,Johnny Depp Alan Rickman Anne Hathaway James Bobin alice through the looking glass
Chris Miller,Justin Timberlake,Eric Idle,Rupert Everett,shrek the third,Adventure Animation Comedy Family Fantasy,Justin Timberlake Eric Idle Rupert Everett Chris Miller shrek the third
Duncan Jones,Dominic Cooper,Callum Rennie,Ruth Negga,warcraft,Action Adventure Fantasy,Dominic Cooper Callum Rennie Ruth Negga Duncan Jones warcraft
Alan Taylor,J.K. Simmons,Emilia Clarke,Matt Smith,terminator genisys,Action Adventure Sci-Fi,J.K. Simmons Emilia Clarke Matt Smith Alan Taylor terminator genisys
Michael Apted,Bruce Spence,Shane Rangi,Laura Brent,the chronicles of narnia: the voyage of the dawn treader,Adventure Family Fantasy,Bruce Spence Shane Rangi Laura Brent Michael Apted the chronicles of narnia: the voyage of the dawn treader
Michael Bay,Jennifer Garner,Jaime King,Mako,pearl harbor,Action Drama History Romance War,Jennifer Garner Jaime King Mako Michael Bay pearl harbor
Michael Bay,Zack Ward,Michael O'Neill,Kevin Dunn,transformers,Action Adventure Sci-Fi,Zack Ward Michael O'Neill Kevin Dunn Michael Bay transformers
Oliver Stone,Anthony Hopkins,Angelina Jolie Pitt,Brian Blessed,alexander,Action Adventure Biography Drama History Romance War,Anthony Hopkins Angelina Jolie Pitt Brian Blessed Oliver Stone alexander
David Yates,Robert Pattinson,Daniel Radcliffe,Fiona Shaw,harry potter and the order of the phoenix,Adventure Family Fantasy Mystery,Robert Pattinson Daniel Radcliffe Fiona Shaw David Yates harry potter and the order of the phoenix
Mike Newell,Robert Pattinson,Daniel Radcliffe,Rupert Grint,harry potter and the goblet of fire,Adventure Family Fantasy Mystery,Robert Pattinson Daniel Radcliffe Rupert Grint Mike Newell harry potter and the goblet of fire
Peter Berg,Will Smith,Charlize Theron,Eddie Marsan,hancock,Action Drama,Will Smith Charlize Theron Eddie Marsan Peter Berg hancock
Francis Lawrence,Will Smith,Alice Braga,Willow Smith,i am legend,Drama Horror Sci-Fi,Will Smith Alice Braga Willow Smith Francis Lawrence i am legend
Tim Burton,Johnny Depp,Christopher Lee,David Kelly,charlie and the chocolate factory,Adventure Comedy Family Fantasy,Johnny Depp Christopher Lee David Kelly Tim Burton charlie and the chocolate factory
Brad Bird,Janeane Garofalo,John Ratzenberger,Brian Dennehy,ratatouille,Animation Comedy Family Fantasy,Janeane Garofalo John Ratzenberger Brian Dennehy Brad Bird ratatouille
Christopher Nolan,Christian Bale,Liam Neeson,Morgan Freeman,batman begins,Action Adventure,Christian Bale Liam Neeson Morgan Freeman Christopher Nolan batman begins
Eric Darnell,Bernie Mac,Jada Pinkett Smith,Cedric the Entertainer,madagascar: escape 2 africa,Action Adventure Animation Comedy Family,Bernie Mac Jada Pinkett Smith Cedric the Entertainer Eric Darnell madagascar: escape 2 africa
Shawn Levy,Robin Williams,Rami Malek,Steve Coogan,night at the museum: battle of the smithsonian,Adventure Comedy Family Fantasy,Robin Williams Rami Malek Steve Coogan Shawn Levy night at the museum: battle of the smithsonian
Gavin Hood,Hugh Jackman,Ryan Reynolds,Dominic Monaghan,x-men origins: wolverine,Action Adventure Fantasy Sci-Fi Thriller,Hugh Jackman Ryan Reynolds Dominic Monaghan Gavin Hood x-men origins: wolverine
Lana Wachowski,Essie Davis,Collin Chou,Nona Gaye,the matrix revolutions,Action Sci-Fi,Essie Davis Collin Chou Nona Gaye Lana Wachowski the matrix revolutions
Chris Buck,Josh Gad,Maurice LaMarche,Livvy Stubenrauch,frozen,Adventure Animation Comedy Family Fantasy Musical,Josh Gad Maurice LaMarche Livvy Stubenrauch Chris Buck frozen
Lana Wachowski,Steve Bastoni,Daniel Bernhardt,Helmut Bakaitis,the matrix reloaded,Action Sci-Fi,Steve Bastoni Daniel Bernhardt Helmut Bakaitis Lana Wachowski the matrix reloaded
Alan Taylor,Chris Hemsworth,Natalie Portman,Anthony Hopkins,thor: the dark world,Action Adventure Fantasy,Chris Hemsworth Natalie Portman Anthony Hopkins Alan Taylor thor: the dark world
George Miller,Tom Hardy,Charlize Theron,Zoë Kravitz,mad max: fury road,Action Adventure Sci-Fi Thriller,Tom Hardy Charlize Theron Zoë Kravitz George Miller mad max: fury road
Ron Howard,Tom Hanks,Ayelet Zurer,Armin Mueller-Stahl,angels & demons,Mystery Thriller,Tom Hanks Ayelet Zurer Armin Mueller-Stahl Ron Howard angels & demons
Kenneth Branagh,Chris Hemsworth,Natalie Portman,Anthony Hopkins,thor,Action Adventure Fantasy,Chris Hemsworth Natalie Portman Anthony Hopkins Kenneth Branagh thor
Byron Howard,Chloë Grace Moretz,Diedrich Bader,James Lipton,bolt,Adventure Animation Comedy Drama Family,Chloë Grace Moretz Diedrich Bader James Lipton Byron Howard bolt
Hoyt Yeatman,Kelli Garner,Piper Mackenzie Harris,Niecy Nash,g-force,Action Adventure Animation Comedy Family Fantasy Sci-Fi,Kelli Garner Piper Mackenzie Harris Niecy Nash Hoyt Yeatman g-force
Jonathan Liebesman,Liam Neeson,Edgar Ramírez,Lily James,wrath of the titans,Action Adventure Fantasy,Liam Neeson Edgar Ramírez Lily James Jonathan Liebesman wrath of the titans
Tim Burton,Johnny Depp,Chloë Grace Moretz,Christopher Lee,dark shadows,Comedy Fantasy Horror,Johnny Depp Chloë Grace Moretz Christopher Lee Tim Burton dark shadows
Christopher McQuarrie,Tom Cruise,Jeremy Renner,Sean Harris,mission: impossible - rogue nation,Action Adventure Thriller,Tom Cruise Jeremy Renner Sean Harris Christopher McQuarrie mission: impossible - rogue nation
Joe Johnston,Anthony Hopkins,Simon Merrells,Art Malik,the wolfman,Drama Fantasy Horror Thriller,Anthony Hopkins Simon Merrells Art Malik Joe Johnston the wolfman
David Yates,Christoph Waltz,Alexander Skarsgård,Casper Crump,the legend of tarzan,Action Adventure Drama Romance,Christoph Waltz Alexander Skarsgård Casper Crump David Yates the legend of tarzan
Steve Hickner,Matthew Broderick,Oprah Winfrey,Rip Torn,bee movie,Adventure Animation Comedy Family,Matthew Broderick Oprah Winfrey Rip Torn Steve Hickner bee movie
Jennifer Yuh Nelson,Angelina Jolie Pitt,Gary Oldman,Mike Bell,kung fu panda 2,Action Adventure Animation Comedy Family,Angelina Jolie Pitt Gary Oldman Mike Bell Jennifer Yuh Nelson kung fu panda 2
M. Night Shyamalan,Seychelle Gabriel,Noah Ringer,Aasif Mandvi,the last airbender,Action Adventure Family Fantasy,Seychelle Gabriel Noah Ringer Aasif Mandvi M. Night Shyamalan the last airbender
J.J. Abrams,Philip Seymour Hoffman,Tom Cruise,Eddie Marsan,mission: impossible iii,Action Adventure Thriller,Philip Seymour Hoffman Tom Cruise Eddie Marsan J.J. Abrams mission: impossible iii
Roland Emmerich,Channing Tatum,Jake Weber,Matt Craven,white house down,Action Drama Thriller,Channing Tatum Jake Weber Matt Craven Roland Emmerich white house down
Simon Wells,Elisabeth Harnois,Dan Fogler,Tom Everett Scott,mars needs moms,Action Adventure Animation Comedy Family Sci-Fi,Elisabeth Harnois Dan Fogler Tom Everett Scott Simon Wells mars needs moms
David Bowers,Hugh Jackman,Kate Winslet,David Suchet,flushed away,Adventure Animation Comedy Family,Hugh Jackman Kate Winslet David Suchet David Bowers flushed away
Rob Minkoff,Ty Burrell,Zach Callison,Karan Brar,mr. peabody & sherman,Adventure Animation Comedy Family Sci-Fi,Ty Burrell Zach Callison Karan Brar Rob Minkoff mr. peabody & sherman
Wolfgang Petersen,Brad Pitt,Orlando Bloom,Julian Glover,troy,Adventure,Brad Pitt Orlando Bloom Julian Glover Wolfgang Petersen troy
Eric Darnell,Jada Pinkett Smith,Martin Short,Cedric the Entertainer,madagascar 3: europe's most wanted,Adventure Animation Comedy Family,Jada Pinkett Smith Martin Short Cedric the Entertainer Eric Darnell madagascar 3: europe's most wanted
Lee Tamahori,Toby Stephens,Colin Salmon,Rick Yune,die another day,Action Adventure Thriller,Toby Stephens Colin Salmon Rick Yune Lee Tamahori die another day
Michael Bay,Bruce Willis,Steve Buscemi,Will Patton,armageddon,Action Adventure Sci-Fi Thriller,Bruce Willis Steve Buscemi Will Patton Michael Bay armageddon
Barry Sonnenfeld,Will Smith,Rosario Dawson,Rip Torn,men in black ii,Action Adventure Comedy Family Fantasy Mystery Sci-Fi,Will Smith Rosario Dawson Rip Torn Barry Sonnenfeld men in black ii
Robert Zemeckis,Robin Wright,Anthony Hopkins,Sebastian Roché,beowulf,Action Adventure Animation Fantasy,Robin Wright Anthony Hopkins Sebastian Roché Robert Zemeckis beowulf
Alessandro Carloni,J.K. Simmons,Angelina Jolie Pitt,Wayne Knight,kung fu panda 3,Action Adventure Animation Comedy Family,J.K. Simmons Angelina Jolie Pitt Wayne Knight Alessandro Carloni kung fu panda 3
Brad Bird,Tom Cruise,Jeremy Renner,Michael Nyqvist,mission: impossible - ghost protocol,Action Adventure Thriller,Tom Cruise Jeremy Renner Michael Nyqvist Brad Bird mission: impossible - ghost protocol
Peter Ramsey,Hugh Jackman,Kamil McFadden,Khamani Griffin,rise of the guardians,Adventure Animation Family Fantasy,Hugh Jackman Kamil McFadden Khamani Griffin Peter Ramsey rise of the guardians
Dean Parisot,John Michael Higgins,Richard Burgi,David Herman,fun with dick and jane,Comedy Crime,John Michael Higgins Richard Burgi David Herman Dean Parisot fun with dick and jane
Edward Zwick,Tom Cruise,Tony Goldwyn,Chad Lindberg,the last samurai,Action Drama History War,Tom Cruise Tony Goldwyn Chad Lindberg Edward Zwick the last samurai
J.J. Abrams,Chris Hemsworth,Leonard Nimoy,Bruce Greenwood,star trek,Action Adventure Sci-Fi,Chris Hemsworth Leonard Nimoy Bruce Greenwood J.J. Abrams star trek
